,id,pad_id,longitude_pad,latitude_pad,county,state,operator_principal,parent_operator_co,company_type,pad_status,tst_first_detection_date
6360,725886,9twrr36g,-103.388535,32.219376,Lea,New Mexico,PRE ONGARD,PRE ONGARD,,no permit,2021-05-15 00:00:00.000
6361,739010,9txmg12x,-102.17202,31.956425,Midland,Texas,COG OPERATING LLC,CONOCOPHILLIPS,,no permit,2018-05-06 00:00:00.000
6362,785376,9tx50e7f,-102.62908,31.483135,Crane,Texas,APACHE CORP,APA,Public,no permit,
6363,682071,9twzn71q,-102.73143,32.185528,Andrews,Texas,FDL OPERATING LLC,FDL ENERGY,Private,no permit,2019-01-21 00:00:00.000
6364,764710,9twg9x7t,-102.93677,31.593458,Ward,Texas,BEST EQUIPMENT,NaN,NaN,no permit,2021-07-04 00:00:00.000
6365,770790,9tz8tz96,-101.69844,32.473343,Martin,Texas,SM ENERGY CO,SM ENERGY,Public,no permit,2019-06-27 00:00:00.000
6366,820459,9twr2byg,-103.66841,32.216637,Lea,New Mexico,CHEVRON USA INC,CHEVRON,Public,no permit,2021-10-17 00:00:00.000
6367,838249,9twr533u,-103.56554,32.175682,Lea,New Mexico,OXY USA INC,OCCIDENTAL,Public,no permit,2021-11-16 17:45:04.000
6368,788387,9tw6twt1,-103.46207,31.412836,Reeves,Texas,OXY USA INC,OCCIDENTAL,Public,no permit,2021-08-18 00:00:00.000
6369,782587,9tx50mbz,-102.644,31.497702,Crane,Texas,"BLACKBEARD OPERATING, LLC",NaN,NaN,no permit,
6370,755234,9txpud17,-102.45678,32.31146,Andrews,Texas,DIAMONDBACK E AND P LLC,DIAMONDBACK,Public,no permit,2021-06-19 00:00:00.000
6371,845733,9twm7u6k,-103.54304,31.884434,Loving,Texas,EOG RESOURCES INC,EOG RESOURCES,Public,no permit,2022-01-05 00:00:00.000
6372,776723,9tvfh3pz,-104.21651,32.70211,Eddy,New Mexico,PRE ONGARD,PRE ONGARD,,no permit,2021-07-24 00:00:00.000
6373,57192,9ty4dyce,-103.939415,32.820797,Eddy,New Mexico,BURNETT OIL CO INC,NaN,NaN,no permit,2018-05-06 00:00:00.000
6374,759015,9tx59g0t,-102.5785,31.570148,Crane,Texas,"P & A OPERATING, INC.",NaN,NaN,no permit,2021-06-26 00:00:00.000
6375,697654,9twzrufq,-102.66395,32.239067,Andrews,Texas,VAQUERO HUNTER INC.,NaN,NaN,no permit,2021-02-04 00:00:00.000
6376,731722,9ttuz32s,-104.09476,31.78008,Culberson,Texas,"ORLA PETCO, INC.",NaN,NaN,no permit,2021-01-05 00:00:00.000
6377,839223,9txsycu8,-101.65,31.7822,Glasscock,Texas,DIAMONDBACK E AND P LLC,DIAMONDBACK,Public,no permit,2021-11-13 00:00:00.000
6378,59151,9ty1dyvb,-103.93343,32.644535,Eddy,New Mexico,SOUTHWEST ROYALTIES INC,NaN,NaN,no permit,2018-05-06 00:00:00.000
6379,847897,9tz8r1z0,-101.63559,32.39746,Howard,Texas,BIRCH OPERATIONS INC,BIRCH RESOURCES,Private,no permit,2022-02-06 00:00:00.000
6380,797001,9txx10q2,-101.90027,32.1695,Martin,Texas,DIAMONDBACK E AND P LLC,DIAMONDBACK,Public,no permit,2021-08-25 00:00:00.000
6381,757033,9txn085u,-102.629105,31.992905,Ector,Texas,OCCIDENTAL PERMIAN LTD,OCCIDENTAL,Private,no permit,2019-02-15 00:00:00.000
6382,744284,9txd09s6,-101.925186,31.297802,Upton,Texas,SEM OPERATING CO LLC,SEQUITUR ENERGY RESOURCES,Private,no permit,2019-03-09 00:00:00.000
6383,844158,9txz7kjz,-101.45081,32.23525,Howard,Texas,SINCLAIR OIL AND GAS CO,SINCLAIR OIL,Private,no permit,2021-12-08 00:00:00.000
6384,786436,9tx52f7h,-102.61909,31.5219,Crane,Texas,"BLACKBEARD OPERATING, LLC",NaN,NaN,no permit,
6385,742866,9txwhq6t,-101.76287,32.027477,Glasscock,Texas,PIONEER NATURAL RES USA INC,PIONEER,Public,no permit,2019-02-27 00:00:00.000
6386,763383,9ttyv40t,-104.19332,32.135883,Eddy,New Mexico,CHEVRON USA INC,CHEVRON,Public,no permit,2021-07-04 00:00:00.000
6387,752716,9ttvk8z7,-104.20609,31.865015,Culberson,Texas,CIMAREX ENERGY CO,CIMAREX,Public,no permit,2021-06-09 00:00:00.000
6388,785989,9tx4cyc1,-102.577965,31.458153,Crane,Texas,RICHLAND RESOURCES CORPORATION,NaN,NaN,no permit,
6389,724152,9vb3e5er,-100.76203,32.627926,Scurry,Texas,STRAWN PETROLEUM OPERATING LLC,STRAWN PETROLEUM,Private,no permit,2019-05-18 00:00:00.000
6390,850103,9tw6zwg5,-103.377174,31.458555,Ward,Texas,COG OPERATING LLC,CONOCOPHILLIPS,Private,no permit,2022-03-21 00:00:00.000
6391,795107,9twz7n8d,-102.87501,32.248062,Andrews,Texas,MAMMOTH EXPLORATION LLC,NaN,NaN,no permit,2019-01-01 00:00:00.000
6392,221564,9v2nh6hm,-101.05716,30.597828,Crockett,Texas,"EPIC PERMIAN OPERATING, LLC",NaN,NaN,no permit,2019-02-12 00:00:00.000
6393,782475,9twgx7ee,-102.68433,31.57252,Crane,Texas,WILLIAMS OIL COMPANY,NaN,NaN,no permit,
6394,668451,9tygsws2,-102.80393,32.994823,Yoakum,Texas,OCCIDENTAL PERMIAN LTD,OCCIDENTAL,Private,no permit,2019-02-20 00:00:00.000
6395,857626,9tx50ywe,-102.6143,31.501081,Crane,Texas,BLACKBEARD OPERATING LLC,NaN,NaN,no permit,2022-05-05 00:00:00.000
6396,684282,9tqvk8d6,-102.80681,30.457237,Pecos,Texas,"OCCIDENTAL W TX OVERTHRUST, INC.",NaN,NaN,no permit,2019-01-06 00:00:00.000
6397,786170,9tx51ecx,-102.58812,31.486767,Crane,Texas,CONTANGO RESOURCES INC,CONTANGO OIL AND GAS,Public,no permit,
6398,161670,9txtypjg,-101.68135,31.987339,Glasscock,Texas,PIONEER NATURAL RES USA INC,PIONEER,Public,no permit,2018-05-03 00:00:00.000
6399,845286,9tzbbpq7,-101.59289,32.516003,Howard,Texas,LAREDO PETROLEUM INC,LAREDO PETROLEUM,Public,no permit,2022-01-02 00:00:00.000
6400,449717,9trxc13u,-101.90664,30.901226,Pecos,Texas,KINDER MORGAN PRODUCTION CO LLC,KINDER MORGAN,Public,no permit,2019-01-01 00:00:00.000
6401,838774,9tw5sp59,-103.88179,31.591494,Reeves,Texas,EOG RESOURCES INC,EOG RESOURCES,Public,no permit,2021-11-16 17:45:19.000
6402,855738,9txndnjy,-102.56013,32.1141,Andrews,Texas,KENWORTHY OIL COMPANY,,,no permit,2022-04-25 00:00:00.000
6403,786186,9tx51s8f,-102.589035,31.489933,Crane,Texas,MOBIL PRODUCING TX. & N.M. INC.,NaN,NaN,no permit,
6404,230029,9v84x46r,-100.93902,31.390629,Irion,Texas,THREE RIVERS OPERATING CO LLC,NaN,NaN,no permit,2018-05-28 00:00:00.000
6405,784334,9tx5g4tm,-102.51689,31.611406,Crane,Texas,"BLACKBEARD OPERATING, LLC",NaN,NaN,no permit,2021-05-17 00:00:00.000
6406,773666,9tybsxvn,-102.803055,32.47528,Andrews,Texas,"WHITE ROCK OIL & GAS, LLC",NaN,NaN,no permit,2021-07-19 00:00:00.000
6407,738937,9txtbdmu,-101.92318,31.961422,Midland,Texas,"PIONEER NATURAL RES. USA, INC.",,,no permit,2019-01-08 00:00:00.000
